序号,饮料类商品,标签
1,怡宝纯净水,热销
2,脉动,热销
3,东鹏特饮,正常
4,阿萨姆奶茶,正常
5,营养快线,正常
6,王老吉（罐）,正常
7,统一冰红茶,正常
8,果粒橙,正常
9,芬达330ml,正常
10,雪碧最新款,正常
11,伊利优酸乳,正常
12,250ml维他柠檬茶,正常
13,统一绿茶,正常
14,王老吉（500ml）,正常
15,红牛,正常
16,可口可乐330ml,正常
17,250ml维他原味豆奶,正常
18,怡宝,正常
19,银鹭八宝粥,滞销
20,250ml燕塘原味酸奶,滞销
21,250ml燕塘红枣牛奶,滞销
22,250ml燕塘甜牛奶,滞销
23,伊利纯牛奶,滞销
24,145ml旺仔牛奶盒装,滞销
25,可口可乐最新款,滞销
26,250ml红牛,滞销
27,268ml雀巢咖啡丝滑拿铁,滞销
28,雪碧（500ml）,滞销
29,500ml统一阿萨姆奶茶,滞销
30,维他奶,滞销
31,阿萨姆煎茶奶绿,滞销
32,维他柠檬茶,滞销
33,茉莉蜜茶,滞销
34,雪碧330ml,滞销
35,600ml雪碧,滞销
36,330ml伊利畅意乳酸菌原味,滞销
37,450ml美汁源果粒橙,滞销
38,可口可乐（500ml）,滞销
39,冰糖雪梨,滞销
40,600ml可口可乐,滞销
41,250ml维他奶巧克力味,滞销
42,500ml加多宝,滞销
43,205g伊利安慕希原味,滞销
44,600ml脉动青柠,滞销
45,维他原味豆奶,滞销
46,480ml小茗同学冷泡青柠红茶,滞销
47,150g健能酸奶原味,滞销
48,100g*5瓶益力多,滞销
49,500ml农夫果园 (芒果+菠萝+番石榴),滞销
50,乐虎,滞销
51,雀巢咖啡,滞销
52,燕塘原味酸奶,滞销
53,可乐可乐,滞销
54,250ml维他奶低糖原味,滞销
55,美汁源果粒橙,滞销
56,椰树牌椰汁,滞销
57,康师傅矿泉水,滞销
58,500ml康师傅冰糖雪梨,滞销
59,250ml统一麦香奶茶,滞销
60,250ml王老吉盒装,滞销
61,尖叫,滞销
62,燕塘甜牛奶,滞销
63,250ML东鹏特饮,滞销
64,180ml雀巢咖啡罐装,滞销
65,脉动（青柠）,滞销
66,80g香飘飘椰果奶茶麦香味,滞销
67,80g香飘飘椰果奶茶原味,滞销
68,燕塘红枣牛奶,滞销
69,旺仔牛奶145ml,滞销
70,百事可乐500ml,滞销
71,维他柠檬茶330ml（罐）,滞销
72,小茗同学,滞销
73,统一阿萨姆奶茶,滞销
74,旺仔牛奶,滞销
75,145ml旺仔牛奶罐装,滞销
76,250ml维他椰子植物蛋白饮料,滞销
77,250ml维他椰子味豆奶7716,滞销
78,维他奶（巧克力味）,滞销
79,冰红茶（罐）,滞销
80,加多宝,滞销
81,雪碧,滞销
82,480ml小茗同学冷泡溜溜哒茶,滞销
83,美年达（罐）,滞销
84,怡宝矿泉水,滞销
85,农夫果园,滞销
86,乐虎（380ml）,滞销
87,珠江纯生啤酒,滞销
88,小茗同学冷泡茶（乳酸菌味）,滞销
89,500ml营养快线原味,滞销
90,205ml安慕希蓝莓味,滞销
91,13g雀巢咖啡1+2特浓,滞销
92,500ML宝矿力,滞销
93,500ml统一冰糖雪梨,滞销
94,250ml香满楼纯牛奶,滞销
95,益力多100g*5瓶,滞销
96,安慕希酸奶,滞销
97,可口可乐330ml（罐）,滞销
98,小茗同学（青柠红茶）,滞销
99,250ml维他奶黑豆奶饮品,滞销
100,天地一号,滞销
101,商品2,滞销
102,330ml伊利畅意乳酸菌草莓味,滞销
103,500ml恒大冰泉矿泉水,滞销
104,雪力矿泉水,滞销
105,娃哈哈红枣酸奶,滞销
106,优益C活菌型乳酸菌饮品,滞销
107,拿铁咖啡（统一）,滞销
108,健能酸奶,滞销
109,维他奶黑豆奶饮品,滞销
110,脉动（椰子菠萝口味）,滞销
111,百事可乐330ml,滞销
112,商品14,滞销
113,芦荟汁,滞销
114,250ml维他椰子植物蛋白饮料9374,滞销
