序号,饮料类商品,标签
1,东鹏特饮,热销
2,怡宝纯净水,热销
3,阿萨姆奶茶,热销
4,营养快线,热销
5,统一冰红茶,热销
6,脉动,热销
7,统一绿茶,正常
8,红牛,正常
9,雪碧最新款,正常
10,王老吉（罐）,正常
11,可口可乐（500ml）,正常
12,果粒橙,正常
13,可口可乐最新款,正常
14,雪碧（500ml）,正常
15,250ml维他柠檬茶,正常
16,伊利优酸乳,正常
17,250ml维他原味豆奶,正常
18,王老吉（500ml）,正常
19,美年达（罐）,正常
20,银鹭八宝粥,正常
21,伊利纯牛奶,正常
22,145ml旺仔牛奶盒装,正常
23,250ml燕塘甜牛奶,正常
24,250ml燕塘原味酸奶,正常
25,250ml红牛,滞销
26,维他柠檬茶,滞销
27,250ml燕塘红枣牛奶,滞销
28,600ml可口可乐,滞销
29,维他奶,滞销
30,可口可乐330ml,滞销
31,268ml雀巢咖啡丝滑拿铁,滞销
32,330ml伊利畅意乳酸菌原味,滞销
33,480ml小茗同学冷泡青柠红茶,滞销
34,500ml统一阿萨姆奶茶,滞销
35,600ml脉动青柠,滞销
36,205g伊利安慕希原味,滞销
37,百事可乐330ml,滞销
38,150g健能酸奶原味,滞销
39,茉莉蜜茶,滞销
40,250ml维他奶巧克力味,滞销
41,180ml雀巢咖啡罐装,滞销
42,100g*5瓶益力多,滞销
43,450ml美汁源果粒橙,滞销
44,250ML东鹏特饮,滞销
45,雀巢咖啡,滞销
46,500ml加多宝,滞销
47,雪碧330ml,滞销
48,600ml雪碧,滞销
49,维他原味豆奶,滞销
50,80g香飘飘椰果奶茶麦香味,滞销
51,可乐可乐,滞销
52,冰糖雪梨,滞销
53,乐虎（380ml）,滞销
54,阿萨姆煎茶奶绿,滞销
55,怡宝,滞销
56,250ml王老吉盒装,滞销
57,500ml农夫果园 (芒果+菠萝+番石榴),滞销
58,80g香飘飘椰果奶茶原味,滞销
59,康师傅矿泉水,滞销
60,芬达330ml,滞销
61,250ml维他奶低糖原味,滞销
62,美汁源果粒橙,滞销
63,健能酸奶,滞销
64,480ml小茗同学冷泡溜溜哒茶,滞销
65,雪力矿泉水,滞销
66,椰树牌椰汁,滞销
67,加多宝,滞销
68,燕塘原味酸奶,滞销
69,尖叫,滞销
70,燕塘红枣牛奶,滞销
71,益力多100g*5瓶,滞销
72,百事可乐500ml,滞销
73,安慕希酸奶,滞销
74,怡宝矿泉水,滞销
75,500ml营养快线原味,滞销
76,雪碧,滞销
77,250ml维他奶黑豆奶饮品,滞销
78,统一阿萨姆奶茶,滞销
79,500ml康师傅冰糖雪梨,滞销
80,250ml维他椰子植物蛋白饮料,滞销
81,250ml统一麦香奶茶,滞销
82,205ml安慕希蓝莓味,滞销
83,250ml维他椰子味豆奶7716,滞销
84,维他奶（巧克力味）,滞销
85,乐虎,滞销
86,可乐（500ml）,滞销
87,商品2,滞销
88,农夫果园,滞销
89,燕塘甜牛奶,滞销
90,冰红茶（罐）,滞销
91,可口可乐330ml（罐）,滞销
92,500ml统一冰糖雪梨,滞销
93,旺仔牛奶,滞销
94,145ml旺仔牛奶罐装,滞销
95,500ml恒大冰泉矿泉水,滞销
96,商品1,滞销
97,250ml维他椰子植物蛋白饮料9374,滞销
98,250ml香满楼纯牛奶,滞销
99,旺仔牛奶145ml,滞销
100,芦荟汁,滞销
101,脉动（青柠）,滞销
102,脉动（椰子菠萝口味）,滞销
103,500ML宝矿力,滞销
104,经典奶茶,滞销
105,小茗同学冷泡茶（乳酸菌味）,滞销
